Data_basis;Type_of_university;Subject_group;Reporting_country;Winter_semester;German_foreigner;Gender;Counting;Notes
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2014;Ausländer;männlich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2014;Ausländer;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2015;Deutsch;männlich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2015;Deutsch;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2015;Ausländer;männlich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2015;Ausländer;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2016;Deutsch;männlich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2016;Deutsch;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2016;Ausländer;männlich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2016;Ausländer;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2017;Deutsch;männlich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2017;Deutsch;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2017;Ausländer;männlich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2017;Ausländer;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2018;Deutsch;männlich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2018;Deutsch;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2018;Ausländer;männlich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2018;Ausländer;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2019;Deutsch;männlich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2019;Deutsch;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2019;Ausländer;männlich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2019;Ausländer;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2007;Deutsch;männlich;190;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2007;Deutsch;weiblich;278;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2007;Ausländer;männlich;13;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2007;Ausländer;weiblich;25;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2008;Deutsch;männlich;201;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2008;Deutsch;weiblich;319;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2008;Ausländer;männlich;4;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2008;Ausländer;weiblich;21;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2009;Deutsch;männlich;210;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2009;Deutsch;weiblich;322;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2009;Ausländer;männlich;3;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2009;Ausländer;weiblich;14;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2010;Deutsch;männlich;229;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2010;Deutsch;weiblich;361;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2010;Ausländer;männlich;7;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2010;Ausländer;weiblich;14;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2011;Deutsch;männlich;237;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2011;Deutsch;weiblich;406;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2011;Ausländer;männlich;8;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2011;Ausländer;weiblich;23;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2012;Deutsch;männlich;145;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2012;Deutsch;weiblich;294;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2012;Ausländer;männlich;7;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2012;Ausländer;weiblich;16;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2013;Deutsch;männlich;155;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2013;Deutsch;weiblich;295;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2013;Ausländer;männlich;10;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2013;Ausländer;weiblich;17;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2014;Deutsch;männlich;133;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2014;Deutsch;weiblich;293;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2014;Ausländer;männlich;13;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2014;Ausländer;weiblich;18;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2015;Deutsch;männlich;136;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2015;Deutsch;weiblich;263;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2015;Ausländer;männlich;12;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2015;Ausländer;weiblich;26;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2016;Deutsch;männlich;151;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2016;Deutsch;weiblich;252;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2016;Ausländer;männlich;15;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2016;Ausländer;weiblich;27;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2017;Deutsch;männlich;151;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2017;Deutsch;weiblich;253;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2017;Ausländer;männlich;17;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2017;Ausländer;weiblich;30;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2018;Deutsch;männlich;145;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2018;Deutsch;weiblich;259;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2018;Ausländer;männlich;12;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2018;Ausländer;weiblich;24;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2019;Deutsch;männlich;155;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2019;Deutsch;weiblich;257;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2019;Ausländer;männlich;12;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Geisteswissenschaften;Brandenburg;2019;Ausländer;weiblich;19;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Humanmedizin/Gesundheitswissenschaften;Brandenburg;2007;Deutsch;männlich;15;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Humanmedizin/Gesundheitswissenschaften;Brandenburg;2007;Deutsch;weiblich;51;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Humanmedizin/Gesundheitswissenschaften;Brandenburg;2007;Ausländer;männlich;1;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Humanmedizin/Gesundheitswissenschaften;Brandenburg;2007;Ausländer;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Humanmedizin/Gesundheitswissenschaften;Brandenburg;2008;Deutsch;männlich;19;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Humanmedizin/Gesundheitswissenschaften;Brandenburg;2008;Deutsch;weiblich;53;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Humanmedizin/Gesundheitswissenschaften;Brandenburg;2008;Ausländer;männlich;1;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Humanmedizin/Gesundheitswissenschaften;Brandenburg;2008;Ausländer;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Humanmedizin/Gesundheitswissenschaften;Brandenburg;2009;Deutsch;männlich;16;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Humanmedizin/Gesundheitswissenschaften;Brandenburg;2009;Deutsch;weiblich;63;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Humanmedizin/Gesundheitswissenschaften;Brandenburg;2009;Ausländer;männlich;1;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Humanmedizin/Gesundheitswissenschaften;Brandenburg;2009;Ausländer;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Humanmedizin/Gesundheitswissenschaften;Brandenburg;2010;Deutsch;männlich;35;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Humanmedizin/Gesundheitswissenschaften;Brandenburg;2010;Deutsch;weiblich;96;
