,BU,CT,IE,Cs134,Cs137,Eu154,U235,Pu239
48,33,6022.5,2.4,2.0674265174375E-08,3.34729559038151E-05,2.27545834357507E-07,0.000120165750448,0.000140296505555
49,42,7665,2.4,6.56987453770483E-09,3.80366689459262E-05,2.19952111029734E-07,7.67501009789035E-05,0.000146380458078
50,43,4197.5,2.4,1.65933464504733E-07,4.84526606907299E-05,4.87587934085048E-07,7.29430193370778E-05,0.000146982123714
51,49.5,9855,2.4,1.12604669687437E-09,3.87745412763824E-05,1.65443253781577E-07,5.26055972965375E-05,0.000150442032886
52,62,4562.5,2.4,1.91740969715746E-07,6.68613788194208E-05,6.67874776913479E-07,2.79772465073893E-05,0.000156186304692
53,21.5,8212.5,2.5,1.31783309179537E-09,1.91848747122469E-05,6.84622393270823E-08,0.000225119126276,0.000127151621839
54,35.5,3285,2.5,2.87216546287636E-07,4.27140929279224E-05,4.61837743435703E-07,0.000115921927652,0.000143428237943
55,39,1825,2.5,1.28334477030796E-06,5.13140131423784E-05,7.26285325954644E-07,9.76820554493864E-05,0.000145817577478
56,52,8212.5,2.5,5.32038798564765E-09,4.49918266769322E-05,2.49938625879728E-07,5.13167662681124E-05,0.000152613774364
57,62,273.75,2.5,9.90200500807536E-06,8.7673305735931E-05,1.72268710251402E-06,3.10924614929168E-05,0.000156953339519
58,53.5,182.5,2.6,8.94277818391889E-06,7.68016411031811E-05,1.52059576421386E-06,5.24400570978479E-05,0.000154187483512
59,59,6022.5,2.6,4.76355617012128E-08,5.82461515549754E-05,4.63678286227929E-07,4.00358183001655E-05,0.000156506990044
60,70,1368.75,2.6,4.23219712970039E-06,9.16517448464663E-05,1.51861511803921E-06,2.32840071608402E-05,0.000161088014568
61,32.5,8577.5,2.7,1.8569238760323E-09,2.80264166849705E-05,1.24107891534068E-07,0.000157211169067,0.000143133452792
62,40.5,1368.75,2.7,1.98111263854068E-06,5.46337539847379E-05,8.33352339779185E-07,0.000108066806193,0.000148922689771
63,32.5,6387.5,2.8,1.37931166221163E-08,3.21800488637227E-05,2.00207231077099E-07,0.000169259124846,0.000144131205246
64,67.5,912.5,2.8,6.10542277137965E-06,9.11285117423774E-05,1.63206094620404E-06,3.22085217825989E-05,0.000161495430874
65,33.5,2463.75,2.9,5.31989361174768E-07,4.24672749908237E-05,4.96893733293116E-07,0.000174015840376,0.00014625125964
66,48,3650,2.9,3.13676834351377E-07,5.56552517674718E-05,6.26694760020223E-07,8.98301044523825E-05,0.000155042502487
67,61.5,5110,2.9,1.12173503162396E-07,6.3996485149028E-05,5.89601513091981E-07,4.73947200701079E-05,0.000160171235532
68,62,9672.5,2.9,1.7033436722549E-09,4.83206444166339E-05,2.17103004825399E-07,4.63343759456962E-05,0.000160307978863
69,65,6752.5,3,2.66634058662711E-08,6.07534396881419E-05,4.34772880691482E-07,4.40724741498069E-05,0.000162462226848
70,45,1368.75,3.1,2.27672954486003E-06,6.03971774209416E-05,9.55322919229101E-07,0.000120872224047,0.000156080408219
71,47.5,6205,3.1,2.89554639346418E-08,4.68477355614104E-05,3.51382346017484E-07,0.000108092876596,0.000157207820402
72,54.5,3467.5,3.1,4.33379363422111E-07,6.34028140839783E-05,7.52915453031601E-07,7.85086498851637E-05,0.000159957606697
73,55,3650,3.1,3.7145463759155E-07,6.32221363090696E-05,7.30642229565115E-07,7.67231033448639E-05,0.000160150257777
74,36.5,5657.5,3.2,3.16725917231739E-08,3.76782164184727E-05,2.75972036706425E-07,0.000187847154834,0.000152121558456
75,54.5,1733.75,3.2,2.12475064095556E-06,7.07308883473186E-05,1.10371475424681E-06,8.52021748692741E-05,0.000161078859401
76,64.5,2920,3.2,8.89478177759677E-07,7.68182522700119E-05,1.00798141630531E-06,5.38670635702221E-05,0.000164093664495
77,67.5,10950,3.2,5.84688353024502E-10,4.82405658810163E-05,1.78827477733339E-07,4.6982033924468E-05,0.000165045623022
78,22.5,9125,3.3,5.63250461108869E-10,1.8892410969189E-05,5.58744084045619E-08,0.000348235378678,0.000134706251734
79,35,1368.75,3.3,1.51256445753264E-06,4.74357516460313E-05,6.64911951285053E-07,0.000213148728791,0.000152099200556
80,47,3650,3.3,2.94175587791291E-07,5.44772278223077E-05,6.0888407965754E-07,0.000128512366211,0.000159461318315
81,49,8030,3.3,5.57715018432749E-09,4.29751537589923E-05,2.4366003244946E-07,0.000117827647799,0.000160300825473
82,57,182.5,3.3,9.41744967395323E-06,8.1398376793143E-05,1.63717932414911E-06,8.24897647148494E-05,0.000163098483309
83,20.5,9307.5,3.4,3.95571617312328E-10,1.70361854640802E-05,4.43140201939785E-08,0.000393902320102,0.000130537567242
84,23.5,4197.5,3.4,5.62552691641991E-08,2.69225173325624E-05,1.78242019946569E-07,0.000352777581404,0.000137453533567
85,28,8395,3.4,1.61759100829611E-09,2.45098288816846E-05,9.70591950446074E-08,0.000297917752529,0.000145274816682
86,38,1277.5,3.4,1.87457933162703E-06,5.16554354127345E-05,7.66609364901576E-07,0.000200817950708,0.000155780336611
87,39.5,2646.25,3.4,5.67248315749234E-07,4.917750018283E-05,5.99543570378547E-07,0.000188912063257,0.000156780418361
88,41.5,7117.5,3.4,9.79259948912521E-09,3.87988607540754E-05,2.38298430114336E-07,0.000174004246317,0.000157888024816
89,34,0,3.5,4.97844398442882E-06,5.02624187265034E-05,8.50801363868222E-07,0.000249870673361,0.000151693492283
90,47,3285,3.5,4.05633982223382E-07,5.57183792712714E-05,6.58172178865455E-07,0.00014779893824,0.000161878976038
91,50.5,8395,3.5,4.01240853299933E-09,4.31160661267432E-05,2.31444632448452E-07,0.000127550767974,0.000163176115337
92,56.5,1003.75,3.5,4.31045142038704E-06,7.65919611745065E-05,1.35301311788902E-06,9.83883569661425E-05,0.000165248472908
93,39.5,1095,3.6,2.32263545422418E-06,5.42183429047053E-05,8.4025588691569E-07,0.000213675207593,0.000159072706347
94,50.5,182.5,3.6,7.62722444735789E-06,7.24679791647171E-05,1.41939150414643E-06,0.000136613451681,0.000164603292982
95,53,10585,3.6,5.73686720558575E-10,3.93012009645533E-05,1.51527682317434E-07,0.000123098264348,0.000165344713927
96,36,4927.5,3.7,5.78485108683733E-08,3.88822870909328E-05,3.11350097635092E-07,0.00025909489375,0.000157554310919
97,42.5,4197.5,3.7,1.45792973357398E-07,4.77166617290667E-05,4.67439001289781E-07,0.000201756899975,0.000162284481186
98,46.5,1368.75,3.7,2.28890163259763E-06,6.22244327944638E-05,9.89521520863111E-07,0.000172070885289,0.000164385514731
99,52,2737.5,3.7,7.56229496788469E-07,6.33860318926623E-05,8.38039721613337E-07,0.000137481552692,0.000166473100679
100,58,3467.5,3.7,4.58586252211486E-07,6.71531173161345E-05,8.10994334174174E-07,0.000106890994825,0.000168290296925
101,30,9490,3.8,6.40331965546492E-10,2.44387625081422E-05,8.36724601961178E-08,0.000339652048512,0.000151621342621
102,33,1551.25,3.8,1.10164064910971E-06,4.42282414374551E-05,5.66746050974128E-07,0.000305010281416,0.000155508277133
103,45.5,3285,3.8,3.75973074242247E-07,5.39685726426877E-05,6.28366018920651E-07,0.00019040988815,0.00016522953801
104,52,4745,3.8,1.18455229417992E-07,5.58122417678851E-05,5.37496144921828E-07,0.000146866530874,0.000167746310583
105,68,9490,3.8,2.20174366907928E-09,5.31935091462065E-05,2.51802812756313E-07,7.49729835500201E-05,0.000171720756448
106,27.5,10585,3.9,1.98703993458076E-10,2.09420936906045E-05,5.58738660582861E-08,0.000388158328344,0.00014848314924
107,47,10037.5,3.9,7.86127359841421E-10,3.63108965047742E-05,1.47481313410847E-07,0.000190803887459,0.000167082015773
108,60.5,6935,3.9,1.92850765041233E-08,5.59891085472045E-05,3.93051616997789E-07,0.000110729974217,0.000171258290747
109,64,5475,3.9,8.0642267065254E-08,6.47582519470785E-05,5.76690804674461E-07,9.56176459225205E-05,0.000172070995873
110,66.5,1825,3.9,2.45602897465434E-06,8.45741500868411E-05,1.34315926830512E-06,8.59741530735528E-05,0.000172679334672
111,48,2007.5,4,1.30754374086722E-06,6.15605407925548E-05,8.92687865768183E-07,0.000194569651108,0.000168825823392
112,50.5,2190,4,1.16779927832354E-06,6.37605417151054E-05,9.10400036152838E-07,0.000176649595062,0.000169814707897
113,53.5,730,4,4.91935939958526E-06,7.38922152696555E-05,1.35287990509034E-06,0.000156986745215,0.000170882804304
114,20,2190,4.1,2.53193427262266E-07,2.60961685726902E-05,1.90525524401579E-07,0.000537311016215,0.000132059850636
115,40,3285,4.1,3.02537861233079E-07,4.77229922786362E-05,5.20040145250274E-07,0.000276400956748,0.000165404769447
116,47.5,1460,4.1,2.11167305946489E-06,6.30790286226831E-05,9.92002455140442E-07,0.000209989289025,0.000169836087151
117,57,1825,4.1,1.97091994001427E-06,7.32136924948565E-05,1.1474202041492E-06,0.00014546390347,0.000173034296308
118,48,7665,4.2,7.0530181779051E-09,4.30198736212015E-05,2.55341740177435E-07,0.000217923769424,0.00017131597745
119,61,0,4.2,1.13445611606013E-05,8.74382067715301E-05,1.84406246342814E-06,0.000132112212817,0.000173367045266
120,61,3193.75,4.2,6.00100917165137E-07,7.144289602227E-05,9.10779426409667E-07,0.00013215626642,0.00017523138502
121,23,1095,4.3,8.6159081699018E-07,3.20172921065982E-05,3.13197171041991E-07,0.000527837263678,0.000141301108312
122,30,9855,4.3,4.37811170667107E-10,2.38557482404698E-05,7.47403426493968E-08,0.000424794490921,0.000155809192702
123,31.5,4927.5,4.3,4.33800062313869E-08,3.41036463797568E-05,2.40672274830482E-07,0.000404805567203,0.000158130368674
124,48.5,2646.25,4.3,7.21668021195263E-07,5.96706126346351E-05,7.84676815662326E-07,0.000225984474308,0.000173019350982
125,49,2098.75,4.3,1.21452492505462E-06,6.23826596397898E-05,8.97821608234253E-07,0.000221900304447,0.000173245095635
126,26.5,6022.5,4.4,1.18656722746171E-08,2.69288249267324E-05,1.37586388271734E-07,0.000492664044451,0.000149841659476
127,28,1368.75,4.4,9.48521714532006E-07,3.81447654147683E-05,4.26384666162163E-07,0.000470496924228,0.000152925407662
128,30.5,8395,4.4,1.66906452249052E-09,2.65335121105305E-05,1.04949728586575E-07,0.000435436634922,0.000157211508954
129,48,4562.5,4.4,1.20806560057035E-07,5.23253185104261E-05,5.05679141764975E-07,0.000242395441286,0.000173946972912
130,53.5,9125,4.4,2.10893312001623E-09,4.3407006453399E-05,2.12001611943617E-07,0.000198622668704,0.000176048708847
131,57.5,1642.5,4.4,2.31784923237589E-06,7.4628267699939E-05,1.21013075981255E-06,0.000170952163928,0.000177244105302
132,65.5,9307.5,4.4,2.38727694426232E-09,5.18769101012059E-05,2.56008209045958E-07,0.000125591046909,0.000178709955652
133,21.5,1551.25,4.5,4.90923196475934E-07,2.9102497554807E-05,2.43080910773364E-07,0.0005922166796,0.000137791550454
134,29.5,6935,4.5,6.1378450671227E-09,2.82190898491947E-05,1.36287980437162E-07,0.000467222403179,0.000156376779669
135,31.5,1186.25,4.5,1.33431975843804E-06,4.31937270893179E-05,5.42845704184384E-07,0.000439296532111,0.000159733133613
136,32.5,8760,4.5,1.32560385065279E-09,2.75779550076423E-05,1.07800903381432E-07,0.000425944071653,0.000161170349981
137,41.5,5840,4.5,2.89478475192148E-08,4.19540982073863E-05,3.07142377068495E-07,0.000318574775265,0.00017101880159
138,56,912.5,4.5,4.32055707816737E-06,7.62012593502799E-05,1.3768286730741E-06,0.000191335836553,0.000178145768364
139,57,3467.5,4.5,4.23254161958962E-07,6.59277932283289E-05,8.00435760623841E-07,0.000184425828159,0.000178394775013
140,69.5,1368.75,4.5,3.85987111971363E-06,9.06040113593491E-05,1.57121366953204E-06,0.000114134612242,0.000180679431678
141,20,456.25,4.6,1.19388807447226E-06,2.90984685411028E-05,2.66417441784073E-07,0.000638722132659,0.000133376783508
142,34,2190,4.6,6.01814421261134E-07,4.3654656555647E-05,4.96574888437103E-07,0.000423142967891,0.000164291650993
143,35.5,8030,4.6,3.00483897926296E-09,3.14618164924499E-05,1.47329872510756E-07,0.000403921308235,0.000166177335752
144,62,3467.5,4.6,4.66654095776323E-07,7.1240644469803E-05,8.78151099699867E-07,0.000161971045475,0.000180817374224
145,68,0,4.6,1.31034028597544E-05,9.67776491110723E-05,2.08626692405056E-06,0.000128796117512,0.000179840801425
146,69,1277.5,4.6,4.13141924936205E-06,9.04947486558296E-05,1.59566114797963E-06,0.000123909185096,0.000181876547105
147,22,1460,4.7,5.47972185663642E-07,2.99310160658316E-05,2.55153292322911E-07,0.000623951168786,0.000139936881015
148,29,6022.5,4.7,1.35565618713115E-08,2.93916868276575E-05,1.59577997496372E-07,0.000511111560613,0.000156944125156
149,44.5,9490,4.7,1.11555875851811E-09,3.56056741210485E-05,1.52037634052887E-07,0.000316157896917,0.000175668073016
150,58,7847.5,4.7,7.61615602764121E-09,5.07827632347685E-05,3.11220225349629E-07,0.00019850936878,0.000181373528443
151,59.5,1003.75,4.7,4.31153641656711E-06,8.02115760706824E-05,1.45283744632622E-06,0.000187918214041,0.000181801799911
152,33,8577.5,4.8,1.57085942711193E-09,2.8300458309801E-05,1.13477824549112E-07,0.000471502344469,0.0001643796442
153,38.5,547.5,4.8,3.33040706191584E-06,5.46125900810378E-05,8.73249671536257E-07,0.000399305413092,0.000171655811867
154,44,91.25,4.8,6.20702363810397E-06,6.38162090967527E-05,1.18880799001349E-06,0.000335827327081,0.000176511725026
155,49,273.75,4.8,6.27800331433849E-06,6.99434360119171E-05,1.33676850147627E-06,0.000285136931536,0.000179616900623
156,25,365,4.9,1.8633539808157E-06,3.6353181205431E-05,4.13339358579954E-07,0.000612673686487,0.000148968193773
157,45,8030,4.9,4.29653252763622E-09,3.94573809497852E-05,2.12110653122401E-07,0.000339676671363,0.000178214078695
158,59,6935,4.9,1.78747615188695E-08,5.46564954648793E-05,3.88870453183095E-07,0.00021261717434,0.000184301139232
159,21,5657.5,5.1,1.02007643855556E-08,2.19137084858016E-05,8.87595359564826E-08,0.000724107631595,0.000137783978028
160,23.5,4562.5,5.1,3.44518189096089E-08,2.62284859066288E-05,1.42176643661872E-07,0.00067869149593,0.000145582151695
161,55,9855,5.1,1.07366447414235E-09,4.24931535374513E-05,1.87008243427609E-07,0.000268759293348,0.000185890569049
162,68,6752.5,5.1,2.54520882646995E-08,6.30691102336121E-05,4.74544954413735E-07,0.000171599771892,0.000188689972871
163,21.5,2372.5,5.2,2.17512766732052E-07,2.76029346645149E-05,1.90738447587297E-07,0.000735528881152,0.000139756076879
164,26.5,3376.25,5.2,1.26994621430226E-07,3.17969274763896E-05,2.3285504633767E-07,0.000646696062247,0.000154135208938
165,44,456.25,5.2,4.30907201760011E-06,6.23147665875661E-05,1.08451939019097E-06,0.000396227226394,0.000181085797798
166,62.5,7847.5,5.2,8.09243414090313E-09,5.43459007721383E-05,3.39694510071525E-07,0.000219038064312,0.000189093883813
167,21,6205,5.3,6.06976182378544E-09,2.11625721747778E-05,7.73458024772474E-08,0.00076588082163,0.000138104573455
168,26.5,2190,5.3,3.75471498377032E-07,3.42702135139823E-05,3.00603380575311E-07,0.000666450030361,0.000154485339736
169,27,7482.5,5.3,2.97626361668341E-09,2.49715948233781E-05,9.68531875544561E-08,0.000657978585458,0.000155658516717
170,28,2555,5.3,2.96228269204825E-07,3.53375811648085E-05,3.08439926058218E-07,0.000641078913408,0.000158108590841
171,34,10402.5,5.3,2.97412259870175E-10,2.59361144536243E-05,7.80728860798333E-08,0.000546571217363,0.000169712765823
172,46.5,6752.5,5.3,1.4298039849228E-08,4.41144672885905E-05,2.93199915928956E-07,0.0003824428,0.000183892545536
173,49,1368.75,5.3,2.21283793799348E-06,6.52019005384815E-05,1.04159320140915E-06,0.000354514484622,0.000185638918096
174,61.5,2372.5,5.3,1.20757076124977E-06,7.56620609989457E-05,1.11576546387201E-06,0.000237640485428,0.000190045813873
175,53.5,9125,5.4,1.96848600584309E-09,4.33217959102557E-05,2.11434806370186E-07,0.000321789842407,0.000189042990405
176,66,2190,5.4,1.59076826212051E-06,8.17968630358488E-05,1.2642652194713E-06,0.000214283800177,0.000192363941075
177,66.5,8395,5.4,5.32738223742902E-09,5.5634942988013E-05,3.23905647330256E-07,0.000210765092405,0.000192350292514
178,31,2555,5.5,3.40615902724639E-07,3.89376740086019E-05,3.6756703598401E-07,0.000630498744899,0.000165867180771
179,32.5,7482.5,5.5,3.97774799133893E-09,2.9851639929216E-05,1.35393859337921E-07,0.000606596236117,0.000168735720129
180,42.5,8030,5.5,3.73094531693998E-09,3.7308444241546E-05,1.91015653325763E-07,0.000463137968867,0.000182800935576
181,43.5,3650,5.5,2.18775192334382E-07,5.03339421583874E-05,5.22162531865527E-07,0.00045021980584,0.000183817269152
182,31.5,4015,5.6,9.08037974550098E-08,3.60549574349836E-05,2.72697981908349E-07,0.000641386230522,0.000167168339403
183,35,2098.75,5.6,6.39130560107712E-07,4.5088162141988E-05,5.07011251091202E-07,0.000586159031619,0.000173620351684
184,52.5,2007.5,5.6,1.31664562891036E-06,6.67244438908396E-05,9.89455607577136E-07,0.000359804426455,0.000191230741628
185,61.5,10585,5.6,6.18413370097652E-10,4.49802752515297E-05,1.82316015669672E-07,0.000272732981288,0.000194292130607
186,65,6205,5.6,3.80997009891195E-08,6.25223068770416E-05,5.13334516126856E-07,0.000243543269718,0.000195008440139
187,46,3285,5.7,3.32371427757252E-07,5.43328072340943E-05,6.152094651117E-07,0.000450713878079,0.000188016463733
188,39.5,182.5,5.8,4.53281636847046E-06,5.71980844418222E-05,9.5100353762247E-07,0.000555333312912,0.000182030925926
189,44.5,1460,5.8,1.67322377082537E-06,5.9063513318847E-05,8.70570735206198E-07,0.000486223955951,0.00018765900733
190,51,2463.75,5.8,8.12118343712406E-07,6.30373548783621E-05,8.55542169831879E-07,0.000405874826594,0.000192770734464
191,69.5,4927.5,5.8,1.35479860007801E-07,7.21568022398813E-05,7.35771357585528E-07,0.000230555149196,0.000198407914838
192,35.5,2828.75,5.9,3.27517267393713E-07,4.36318724172379E-05,4.35873030329728E-07,0.000633947762216,0.000176568220118
193,39,1277.5,5.9,1.60664330175007E-06,5.27109136403554E-05,7.26425052165191E-07,0.000580356641421,0.000182112845599
194,41,10220,5.9,4.54134034528331E-10,3.1357828313774E-05,1.09147618378452E-07,0.000551350211943,0.000184554873875
195,63,4197.5,5.9,2.25870663356088E-07,6.88924620861157E-05,7.7248119641614E-07,0.000295784831154,0.000198612011975
196,24.5,5657.5,6,1.27528266937624E-08,2.54665834255973E-05,1.13577395090974E-07,0.000845540227973,0.000151200338751
197,46,730,6,3.42186828376995E-06,6.38355974393622E-05,1.07336615509102E-06,0.000499336878165,0.000191230615976
198,49.5,7847.5,6,5.52315857717899E-09,4.36511548177852E-05,2.49743661989427E-07,0.000454579917402,0.000194033925007
199,50.5,6022.5,6,2.9802432324916E-08,4.98430591925984E-05,3.82509655798467E-07,0.000442275314365,0.000194694090096
